userName,condition,taskNumber,focus,ExperimentState,elapsedTime,headsetX,headsetY,headsetZ,ControllerLeftX,ControllerLeftY,ControllerLeftZ,ControllerRightX,ControllerRightY,ControllerRightZ,distance,taskID,currentSliver.transform.position.x,currentSliver.transform.position.y,currentSliver.transform.position.z,currentTarget.transform.position.x,currentTarget.transform.position.y,currentTarget.transform.position.z,objectXLength,objectYLength,objectZLength,currentObjectRotationX,currentObjectRotationY,currentObjectRotationZ,targetRotationX,targetRotationY,targetRotationZ,currentObjectRotationXInspector,currentObjectRotationYInspector,currentObjectRotationZInspector,targetRotationXInspector,targetRotationYInspector,targetRotationZInspector,angle,button,side,status
R_6upkCC6CpmnmfNn,Standup,0,Tutorial,Tutorial,0.02,-0.2140849,1.664932,-0.03296024,-0.684,0,0.825,-0.645667,0,1.193009,0.1781963,0,-0.228,1.478,1.031804,-0.228,1.478,1.21,0.1187976,0.1187976,0.1187976,4.268867E-07,-8.537734E-07,1.707547E-06,0,0,0,0,0,0,0,0,0,0,,,
R_6upkCC6CpmnmfNn,Standup,0,Tutorial,Tutorial,2.060785,-0.1834608,1.649328,-0.07828939,-0.0585078,1.244647,0.1112484,0.02853757,1.227346,-0.005298197,0.1781963,0,-0.228,1.478,1.031804,-0.228,1.478,1.21,0.1187976,0.1187976,0.1187976,4.268867E-07,-8.537734E-07,1.707547E-06,0,0,0,0,0,0,0,0,0,0,,,
R_6upkCC6CpmnmfNn,Standup,0,Tutorial,Tutorial,2.233451,-0.2075084,1.648194,-0.04749686,-0.09226263,1.24353,0.1350667,0.01523298,1.229222,0.0313136,0.1781963,0,-0.228,1.478,1.031804,-0.228,1.478,1.21,0.1187976,0.1187976,0.1187976,4.268867E-07,-8.537734E-07,1.707547E-06,0,0,0,0,0,0,0,0,0,0,,,
R_6upkCC6CpmnmfNn,Standup,0,Tutorial,Tutorial,2.67236,-0.2344751,1.647546,-0.04631311,-0.1745706,1.239334,0.159561,-0.03964025,1.230956,0.08823395,0.1781963,0,-0.228,1.478,1.031804,-0.228,1.478,1.21,0.1187976,0.1187976,0.1187976,4.268867E-07,-8.537734E-07,1.707547E-06,0,0,0,0,0,0,0,0,0,0,,,
R_6upkCC6CpmnmfNn,Standup,0,Tutorial,Tutorial,2.808653,-0.2432388,1.647206,-0.04740638,-0.1938426,1.239663,0.1613285,-0.05391848,1.230707,0.09722507,0.1781963,0,-0.228,1.478,1.031804,-0.228,1.478,1.21,0.1187976,0.1187976,0.1187976,4.268867E-07,-8.537734E-07,1.707547E-06,0,0,0,0,0,0,0,0,0,0,,,
R_6upkCC6CpmnmfNn,Standup,0,Tutorial,Tutorial,2.931041,-0.248568,1.64632,-0.04813671,-0.2037329,1.240326,0.1598476,-0.06402797,1.233021,0.1024763,0.1781963,0,-0.228,1.478,1.031804,-0.228,1.478,1.21,0.1187976,0.1187976,0.1187976,4.268867E-07,-8.537734E-07,1.707547E-06,0,0,0,0,0,0,0,0,0,0,,,
R_6upkCC6CpmnmfNn,Standup,0,Tutorial,Tutorial,3.048229,-0.2531568,1.646026,-0.04921085,-0.2103935,1.240363,0.1576406,-0.07123625,1.23486,0.1035671,0.1781963,0,-0.228,1.478,1.031804,-0.228,1.478,1.21,0.1187976,0.1187976,0.1187976,4.268867E-07,-8.537734E-07,1.707547E-06,0,0,0,0,0,0,0,0,0,0,,,
R_6upkCC6CpmnmfNn,Standup,0,Tutorial,Tutorial,3.169582,-0.2564278,1.645975,-0.05033112,-0.2132043,1.241668,0.1567864,-0.0742994,1.234609,0.1026152,0.1781963,0,-0.228,1.478,1.031804,-0.228,1.478,1.21,0.1187976,0.1187976,0.1187976,4.268867E-07,-8.537734E-07,1.707547E-06,0,0,0,0,0,0,0,0,0,0,,,
R_6upkCC6CpmnmfNn,Standup,0,Tutorial,Tutorial,3.298753,-0.2605634,1.646553,-0.05169553,-0.2132353,1.243512,0.1560846,-0.07571971,1.234515,0.1010658,0.1781963,0,-0.228,1.478,1.031804,-0.228,1.478,1.21,0.1187976,0.1187976,0.1187976,4.268867E-07,-8.537734E-07,1.707547E-06,0,0,0,0,0,0,0,0,0,0,,,
R_6upkCC6CpmnmfNn,Standup,0,Tutorial,Tutorial,3.433477,-0.2630432,1.647976,-0.05323535,-0.2102203,1.245174,0.155919,-0.07585859,1.23739,0.09940672,0.1781963,0,-0.228,1.478,1.031804,-0.228,1.478,1.21,0.1187976,0.1187976,0.1187976,4.268867E-07,-8.537734E-07,1.707547E-06,0,0,0,0,0,0,0,0,0,0,,,
