userName,condition,taskNumber,focus,ExperimentState,elapsedTime,headsetX,headsetY,headsetZ,ControllerLeftX,ControllerLeftY,ControllerLeftZ,ControllerRightX,ControllerRightY,ControllerRightZ,distance,taskID,currentSliver.transform.position.x,currentSliver.transform.position.y,currentSliver.transform.position.z,currentTarget.transform.position.x,currentTarget.transform.position.y,currentTarget.transform.position.z,objectXLength,objectYLength,objectZLength,currentObjectRotationX,currentObjectRotationY,currentObjectRotationZ,targetRotationX,targetRotationY,targetRotationZ,currentObjectRotationXInspector,currentObjectRotationYInspector,currentObjectRotationZInspector,targetRotationXInspector,targetRotationYInspector,targetRotationZInspector,angle,button,side,status
R_3GqWjdunJR7PrFD,Standup,0,Tutorial,Tutorial,0.02,-0.3948192,1.600792,0.3330705,-0.684,0,0.825,-0.645667,0,1.193009,0.1781963,0,-0.228,1.478,1.031804,-0.228,1.478,1.21,0.1187976,0.1187976,0.1187976,4.268867E-07,-8.537734E-07,1.707547E-06,0,0,0,0,0,0,0,0,0,0,,,
R_3GqWjdunJR7PrFD,Standup,0,Tutorial,Tutorial,1.912926,-0.3601348,1.591642,0.3303389,-0.6107426,1.358634,0.319282,-0.5604787,1.36812,0.1531228,0.1781963,0,-0.228,1.478,1.031804,-0.228,1.478,1.21,0.1187976,0.1187976,0.1187976,4.268867E-07,-8.537734E-07,1.707547E-06,0,0,0,0,0,0,0,0,0,0,,,
R_3GqWjdunJR7PrFD,Standup,0,Tutorial,Tutorial,2.027976,-0.3391641,1.553302,0.3298848,-0.611643,1.375426,0.3100207,-0.5678878,1.380081,0.1612517,0.1781963,0,-0.228,1.478,1.031804,-0.228,1.478,1.21,0.1187976,0.1187976,0.1187976,4.268867E-07,-8.537734E-07,1.707547E-06,0,0,0,0,0,0,0,0,0,0,,,
R_3GqWjdunJR7PrFD,Standup,0,Tutorial,Tutorial,2.365485,-0.3496507,1.554182,0.3320055,-0.6229781,1.351828,0.3009799,-0.5813178,1.364265,0.1688549,0.1781963,0,-0.228,1.478,1.031804,-0.228,1.478,1.21,0.1187976,0.1187976,0.1187976,4.268867E-07,-8.537734E-07,1.707547E-06,0,0,0,0,0,0,0,0,0,0,,,
R_3GqWjdunJR7PrFD,Standup,0,Tutorial,Tutorial,2.475657,-0.3552967,1.552696,0.3345178,-0.6267969,1.319546,0.3129768,-0.5899688,1.337712,0.1764536,0.1781963,0,-0.228,1.478,1.031804,-0.228,1.478,1.21,0.1187976,0.1187976,0.1187976,4.268867E-07,-8.537734E-07,1.707547E-06,0,0,0,0,0,0,0,0,0,0,,,
R_3GqWjdunJR7PrFD,Standup,0,Tutorial,Tutorial,2.58836,-0.3617338,1.548108,0.3368154,-0.6297872,1.285233,0.3304009,-0.5961282,1.30072,0.1893009,0.1781963,0,-0.228,1.478,1.031804,-0.228,1.478,1.21,0.1187976,0.1187976,0.1187976,4.268867E-07,-8.537734E-07,1.707547E-06,0,0,0,0,0,0,0,0,0,0,,,
R_3GqWjdunJR7PrFD,Standup,0,Tutorial,Tutorial,2.709756,-0.3673632,1.543437,0.3395391,-0.6263238,1.280526,0.3486651,-0.6000978,1.272637,0.1989693,0.1781963,0,-0.228,1.478,1.031804,-0.228,1.478,1.21,0.1187976,0.1187976,0.1187976,4.268867E-07,-8.537734E-07,1.707547E-06,0,0,0,0,0,0,0,0,0,0,,,
R_3GqWjdunJR7PrFD,Standup,0,Tutorial,Tutorial,2.854935,-0.3700867,1.532183,0.3417671,-0.6207274,1.303031,0.3606859,-0.5965621,1.280886,0.1928584,0.1781963,0,-0.228,1.478,1.031804,-0.228,1.478,1.21,0.1187976,0.1187976,0.1187976,4.268867E-07,-8.537734E-07,1.707547E-06,0,0,0,0,0,0,0,0,0,0,,,
R_3GqWjdunJR7PrFD,Standup,0,Tutorial,Tutorial,2.979963,-0.3694881,1.524937,0.3417829,-0.6173853,1.324057,0.3629512,-0.5934873,1.299474,0.1860111,0.1781963,0,-0.228,1.478,1.031804,-0.228,1.478,1.21,0.1187976,0.1187976,0.1187976,4.268867E-07,-8.537734E-07,1.707547E-06,0,0,0,0,0,0,0,0,0,0,,,
R_3GqWjdunJR7PrFD,Standup,0,Tutorial,Tutorial,3.099381,-0.3679931,1.523939,0.3424758,-0.6157096,1.345598,0.3666431,-0.5857791,1.319616,0.1799677,0.1781963,0,-0.228,1.478,1.031804,-0.228,1.478,1.21,0.1187976,0.1187976,0.1187976,4.268867E-07,-8.537734E-07,1.707547E-06,0,0,0,0,0,0,0,0,0,0,,,
R_3GqWjdunJR7PrFD,Standup,0,Tutorial,Tutorial,3.210453,-0.366837,1.522271,0.3422934,-0.6141453,1.360546,0.3711126,-0.577114,1.333764,0.1752293,0.1781963,0,-0.228,1.478,1.031804,-0.228,1.478,1.21,0.1187976,0.1187976,0.1187976,4.268867E-07,-8.537734E-07,1.707547E-06,0,0,0,0,0,0,0,0,0,0,,,
R_3GqWjdunJR7PrFD,Standup,0,Tutorial,Tutorial,3.322353,-0.3658778,1.521845,0.3411763,-0.6089787,1.371437,0.3727596,-0.5753305,1.34279,0.1750736,0.1781963,0,-0.228,1.478,1.031804,-0.228,1.478,1.21,0.1187976,0.1187976,0.1187976,4.268867E-07,-8.537734E-07,1.707547E-06,0,0,0,0,0,0,0,0,0,0,,,
R_3GqWjdunJR7PrFD,Standup,0,Tutorial,Tutorial,3.436529,-0.3645114,1.522371,0.3403054,-0.6051236,1.37786,0.3736435,-0.5734881,1.349464,0.1780693,0.1781963,0,-0.228,1.478,1.031804,-0.228,1.478,1.21,0.1187976,0.1187976,0.1187976,4.268867E-07,-8.537734E-07,1.707547E-06,0,0,0,0,0,0,0,0,0,0,,,
R_3GqWjdunJR7PrFD,Standup,0,Tutorial,Tutorial,3.552022,-0.3635626,1.522166,0.340482,-0.6029833,1.382885,0.3740419,-0.5735773,1.353087,0.1797314,0.1781963,0,-0.228,1.478,1.031804,-0.228,1.478,1.21,0.1187976,0.1187976,0.1187976,4.268867E-07,-8.537734E-07,1.707547E-06,0,0,0,0,0,0,0,0,0,0,,,
R_3GqWjdunJR7PrFD,Standup,0,Tutorial,Tutorial,3.67731,-0.3627229,1.521432,0.3415852,-0.5996948,1.387619,0.3737826,-0.5760978,1.352597,0.1834872,0.1781963,0,-0.228,1.478,1.031804,-0.228,1.478,1.21,0.1187976,0.1187976,0.1187976,4.268867E-07,-8.537734E-07,1.707547E-06,0,0,0,0,0,0,0,0,0,0,,,
R_3GqWjdunJR7PrFD,Standup,0,Tutorial,Tutorial,3.817407,-0.3608933,1.520928,0.3427257,-0.5951558,1.392434,0.3709117,-0.5784768,1.352214,0.1894455,0.1781963,0,-0.228,1.478,1.031804,-0.228,1.478,1.21,0.1187976,0.1187976,0.1187976,4.268867E-07,-8.537734E-07,1.707547E-06,0,0,0,0,0,0,0,0,0,0,,,
