userName,taskNumber,focus,ExperimentState,elapsedTime,headsetX,headsetY,headsetZ,distance,taskID,currentSliver.transform.position.x,currentSliver.transform.position.y,currentSliver.transform.position.z,currentTarget.transform.position.x,currentTarget.transform.position.y,currentTarget.transform.position.z,objectXLength,objectYLength,objectZLength,currentObjectRotationX,currentObjectRotationY,currentObjectRotationZ,targetRotationX,targetRotationY,targetRotationZ,currentObjectRotationXInspector,currentObjectRotationYInspector,currentObjectRotationZInspector,targetRotationXInspector,targetRotationYInspector,targetRotationZInspector,angle,mouseX,mouseY,button,side,status
anditest,0,Tutorial,Tutorial,0.02,-32.45,1.39,-4.16,1.488039,0,-0.3399999,0.6300001,-1.481039,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,8.537736E-07,1.280661E-06,2.561321E-06,0,0,0,0,0,0,0,0,0,0,890,1143,,,
anditest,0,Tutorial,Tutorial,1.512104,-32.45,1.39,-4.16,1.488039,0,-0.3399999,0.6300001,-1.481039,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,8.537736E-07,1.280661E-06,2.561321E-06,0,0,0,0,0,0,0,0,0,0,1637.53,452.4807,,,
anditest,0,Tutorial,Tutorial,1.643306,-32.45,1.39,-4.16,1.488039,0,-0.3399999,0.6300001,-1.481039,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,8.537736E-07,1.280661E-06,2.561321E-06,0,0,0,0,0,0,0,0,0,0,1651.819,458.4344,,,
anditest,0,Tutorial,Tutorial,1.757789,-32.45,1.39,-4.16,1.488039,0,-0.3399999,0.6300001,-1.481039,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,8.537736E-07,1.280661E-06,2.561321E-06,0,0,0,0,0,0,0,0,0,0,1651.819,458.4344,,,
anditest,0,Tutorial,Tutorial,1.867488,-32.45,1.39,-4.16,1.488039,0,-0.3399999,0.6300001,-1.481039,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,8.537736E-07,1.280661E-06,2.561321E-06,0,0,0,0,0,0,0,0,0,0,1651.819,458.4344,,,
anditest,0,Tutorial,Tutorial,1.907849,-32.45,1.39,-4.16,1.488039,0,-0.3399999,0.6300001,-1.481039,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,8.537736E-07,1.280661E-06,2.561321E-06,0,0,0,0,0,0,0,0,0,0,1651.819,458.4344,mouse,left,down
anditest,0,Tutorial,Tutorial,1.96409,-32.45,1.39,-4.16,1.488039,0,-0.3399999,0.6300001,-1.481039,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,8.537736E-07,1.280661E-06,2.561321E-06,0,0,0,0,0,0,0,0,0,0,1651.819,458.4344,next,,pressed
anditest,1,Speed,Complexity,1.990565,-32.45,1.39,-4.16,2.090341,1,-0.3399995,0.6299998,-2.083341,-0.34,0.63,0.007,0.9388822,0.9388822,0.9388822,8.537733E-07,-4.268866E-07,4.268866E-06,350.9471,359.2726,9.168056,0,0,0,-9.053,-0.7270001,9.168,12.85711,1651.819,458.4344,,,
anditest,1,Speed,Complexity,2.099045,-32.45,1.39,-4.16,2.090341,1,-0.3399995,0.6299998,-2.083341,-0.34,0.63,0.007,0.9388822,0.9388822,0.9388822,8.537733E-07,-4.268866E-07,4.268866E-06,350.9471,359.2726,9.168056,0,0,0,-9.053,-0.7270001,9.168,12.85711,1651.819,458.4344,,,
anditest,1,Speed,Complexity,2.212205,-32.45,1.39,-4.16,2.090341,1,-0.3399995,0.6299998,-2.083341,-0.34,0.63,0.007,0.9388822,0.9388822,0.9388822,8.537733E-07,-4.268866E-07,4.268866E-06,350.9471,359.2726,9.168056,0,0,0,-9.053,-0.7270001,9.168,12.85711,1651.819,458.4344,,,
