userName,taskNumber,elapsedTime,headsetX,headsetY,headsetZ,ControllerLeftX,ControllerLeftY,ControllerLeftZ,ControllerRightX,ControllerRightY,ControllerRightZ,distance,taskID,objectName,objectXLength,objectYLength,objectZLength,currentObjectRotationX,currentObjectRotationY,currentObjectRotationZ,targetRotationX,targetRotationY,targetRotationZ,button,side,status
Katie,0,0.02,-0.9663492,1.535016,0.8226218,0,0,1,0.37,0,1,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,1.831723,-0.9045812,1.575544,0.901556,-1.221027,0.9899434,0.8886946,-1.089574,1.092939,1.105356,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,2.139009,-0.9687026,1.502128,0.9180111,-1.180075,0.9953855,0.9671782,-1.025964,1.070567,1.103264,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,2.259135,-0.9599212,1.499239,0.9172137,-1.16262,0.9974149,0.9840103,-0.992705,1.054906,1.101577,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,2.370606,-0.95523,1.498099,0.9127488,-1.14727,0.9944724,0.9888614,-0.9685112,1.037679,1.098192,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,2.482827,-0.9529067,1.495714,0.9056624,-1.135242,0.9893028,0.9861444,-0.9513272,1.030447,1.089507,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,2.596254,-0.9527105,1.492781,0.8965048,-1.129379,0.9881596,0.977656,-0.9419901,1.035503,1.082479,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,2.720146,-0.952673,1.492576,0.8836662,-1.131401,0.996556,0.9662763,-0.9401128,1.048261,1.081218,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,2.841455,-0.9527664,1.494487,0.8699677,-1.136527,1.011183,0.9596524,-0.9466677,1.067326,1.080439,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,2.962429,-0.9532101,1.495767,0.8570567,-1.144618,1.028873,0.9546548,-0.9555931,1.080706,1.079104,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
